Adsorbate,Surface Material,LDA,PBE,RPBE,BEEF-vdW,VdW-DF2,MBEEF,MBEEF-vdW,EXX+RPA,MAGNETIC-MOMENT,Work-Function-surface
N  ,Pt  ,1.989,2.56,2.81,2.854,2.869,2.643,2.464,2.58,0,5.12
N  ,Au  ,4.422,4.761,4.934,4.956,4.755,5.061,4.888,4.615,0,5.1
N2  ,Sc  ,-1.009,-0.511,-0.259,-0.505,-0.606,-0.526,-0.62,-0.179,0,3.5
N2  ,Ti  ,-1.059,-0.367,-0.016,-0.323,-0.343,-0.414,-0.641,-0.197,0,4.33
N2  ,V  ,-1.135,-0.254,0.185,-0.135,-0.117,-0.255,-0.579,-0.184,0,4.3
N2  ,Cr  ,-0.879,0.159,0.662,0.326,0.409,0.174,-0.215,0.392,0,4.5
N2  ,Mn  ,-0.631,0.502,1.044,0.704,0.827,0.546,0.104,0.736,0,4.1
N2  ,Fe  ,-1.016,0.405,1.041,0.754,0.576,0.78,0.367,0.914,4.776,4.67
N2  ,Co  ,-0.27,0.954,1.524,1.166,1.201,1.193,0.735,1.117,3.639,5
N2  ,Ni  ,-0.044,1.042,1.57,1.208,1.321,1.012,0.602,1.037,2.262,5.04
N2  ,Cu  ,0.029,1,1.478,1.152,1.198,1.007,0.647,0.828,0,4.53
N2  ,Y  ,-0.906,-0.512,-0.321,-0.529,-0.601,-0.516,-0.592,-0.196,0,3.1
N2  ,Zr  ,-0.982,-0.434,-0.164,-0.43,-0.449,-0.463,-0.616,-0.236,0,4.05
N2  ,Nb  ,-1.257,-0.56,-0.218,-0.493,-0.477,-0.587,-0.825,-0.454,0,3.95
N2  ,Mo  ,-1.179,-0.354,0.046,-0.233,-0.179,-0.374,-0.675,-0.303,0,4.36
N2  ,Ru  ,-0.91,0.055,0.515,0.252,0.32,0.017,-0.355,0.06,0,4.71
N2  ,Rh  ,-0.759,0.212,0.673,0.42,0.495,0.123,-0.226,0.206,0,4.98
N2  ,Pd  ,-0.503,0.369,0.791,0.52,0.551,0.354,0.058,0.266,0,5.22
N2  ,Ag  ,0.036,0.315,0.454,0.22,0.155,0.121,0.095,0.143,0,4.26
N2  ,Hf  ,-1.014,-0.444,-0.164,-0.464,-0.429,-0.479,-0.637,-0.123,0,3.9
N2  ,Ta  ,-1.297,-0.588,-0.24,-0.523,-0.49,-0.592,nan  ,-0.397,0,4
N2  ,W  ,-1.339,-0.512,-0.115,-0.405,-0.296,-0.535,-0.832,-0.378,0,4.32
N2  ,Re  ,-1.221,-0.306,0.127,-0.157,-0.025,-0.33,-0.66,-0.224,0,4.72
N2  ,Os  ,-1.028,-0.048,0.407,0.134,0.308,-0.126,-0.465,-0.035,0,5.93
N2  ,Ir  ,-0.895,0.111,0.573,0.341,0.504,0.003,-0.327,0.192,0,5
N2  ,Pt  ,-0.538,0.428,0.873,0.63,0.78,0.356,0.049,0.479,0,5.12
N2  ,Au  ,0.031,0.306,0.442,0.211,0.139,0.111,0.081,0.104,0,5.1
CO  ,Sc  ,-1.478,-0.973,-0.714,-0.895,-0.935,-0.942,-1.102,-0.612,0,3.5
CO  ,Ti  ,-1.676,-1.001,-0.658,-0.903,-0.8,-1.041,-1.316,-0.813,0,4.33
CO  ,V  ,-1.873,-1.012,-0.585,-0.84,-0.679,-1.033,-1.389,-0.846,0,4.3
CO  ,Cr  ,-1.751,-0.736,-0.247,-0.497,-0.266,-0.767,-1.168,-0.381,0,4.5
CO  ,Mn  ,-1.613,-0.5,0.028,-0.217,0.063,-0.502,-0.954,-0.207,0,4.1
CO  ,Fe  ,-2.014,-0.639,-0.033,-0.25,-0.229,-0.284,-0.688,-0.003,5.657,4.67
CO  ,Co  ,-1.435,-0.212,0.35,0.088,0.275,0.01,-0.422,0.037,3.484,5
CO  ,Ni  ,-1.12,0.045,0.589,0.344,0.598,0.073,-0.332,0.341,1.556,5.04
CO  ,Cu  ,-0.74,0.263,0.749,0.516,0.718,0.288,-0.102,0.202,0,4.53
CO  ,Y  ,-1.35,-0.933,-0.723,-0.87,-0.912,-0.882,-1.023,-0.603,0,3.1
CO  ,Zr  ,-1.548,-0.988,-0.71,-0.92,-0.843,-0.978,-1.193,-0.7,0,4.05
CO  ,Nb  ,-1.983,-1.287,-0.945,-1.158,-1.022,-1.317,-1.601,-1.138,0,3.95
CO  ,Mo  ,-2.05,-1.221,-0.823,-1.032,-0.826,-1.258,-1.59,-1.114,0,4.36
CO  ,Ru  ,-2.027,-1.023,-0.557,-0.725,-0.473,-1.081,-1.47,-0.923,0,4.71
CO  ,Rh  ,-2.057,-1,-0.518,-0.646,-0.37,-1.098,-1.449,-0.936,0,4.98
CO  ,Pd  ,-1.702,-0.682,-0.21,-0.337,-0.12,-0.705,-1.037,-0.67,0,5.22
CO  ,Ag  ,-0.706,0.02,0.38,0.179,0.252,0.062,-0.232,0.131,0,4.26
CO  ,Hf  ,-1.619,-1.052,-0.77,-1.005,-0.867,-1.061,-1.274,-0.748,0,3.9
CO  ,Ta  ,-2.047,-1.34,-0.994,-1.22,-1.06,-1.357,-1.646,-1.108,0,4
CO  ,W  ,-2.236,-1.414,-1.024,-1.257,-0.997,-1.485,-1.81,-1.219,0,4.32
CO  ,Re  ,-2.244,-1.328,-0.9,-1.109,-0.803,-1.412,-1.765,-1.206,0,4.72
CO  ,Os  ,-2.214,-1.217,-0.764,-0.954,-0.589,-1.381,-1.731,-1.139,0,5.93
CO  ,Ir  ,-2.279,-1.238,-0.772,-0.897,-0.556,-1.426,-1.762,-1.127,0,5
CO  ,Pt  ,-1.998,-0.946,-0.478,-0.58,-0.246,-1.098,-1.415,-0.874,0,5.12
CO  ,Au  ,-0.706,0.105,0.491,0.315,0.471,0.083,-0.235,0.22,0,5.1
NO  ,Sc  ,-2.701,-2.04,-1.811,-1.93,-2.034,-1.857,-1.898,-1.622,0,3.5
NO  ,Ti  ,-3.137,-2.292,-1.975,-2.164,-2.163,-2.2,-2.365,-1.967,0,4.33
NO  ,V  ,-3.369,-2.303,-1.885,-2.099,-2.066,-2.18,-2.434,-2,0,4.3
NO  ,Cr  ,-3.213,-1.969,-1.484,-1.723,-1.626,-1.916,-2.246,-1.411,0,4.5
NO  ,Mn  ,-2.87,-1.498,-0.963,-1.195,-1.06,-1.331,-1.679,-0.99,0,4.1
NO  ,Fe  ,-3.085,-1.6,-1.038,-1.203,nan  ,-0.927,-1.291,-1.107,5.551,4.67
NO  ,Co  ,-2.326,-1.034,-0.529,-0.799,-0.708,-0.804,-1.155,-0.649,4.837,5
NO  ,Ni  ,-1.977,-0.76,-0.276,-0.527,-0.479,-0.617,-0.935,-0.409,2.135,5.04
NO  ,Cu  ,-1.583,-0.54,-0.124,-0.386,-0.376,-0.35,-0.611,-0.305,0,4.53
NO  ,Y  ,-2.367,-1.783,-1.6,-1.672,-1.784,-1.566,-1.594,-1.339,0,3.1
NO  ,Zr  ,-2.812,-2.081,-1.832,-1.996,-1.975,-1.935,-2.038,-1.686,0,4.05
NO  ,Nb  ,-3.245,-2.34,-2.014,-2.193,-2.118,-2.258,-2.442,-1.929,0,3.95
NO  ,Mo  ,-3.399,-2.337,-1.949,-2.102,-1.993,-2.3,-2.543,-1.959,0,4.36
NO  ,Ru  ,-2.753,-1.549,-1.102,-1.257,-1.097,-1.483,-1.775,-1.223,0,4.71
NO  ,Rh  ,-2.342,-1.152,-0.708,-0.817,-0.699,-1.015,-1.264,-0.779,0,4.98
NO  ,Pd  ,-1.832,-0.795,-0.405,-0.543,-0.513,-0.602,-0.804,-0.579,0,5.22
NO  ,Ag  ,-1.031,-0.372,-0.129,-0.351,-0.454,-0.174,-0.282,-0.063,0,4.26
NO  ,Hf  ,-2.892,-2.148,-1.892,-2.053,-2.021,-2.025,-2.13,-1.751,0,3.9
NO  ,Ta  ,-3.299,-2.38,-2.049,-2.241,-2.156,-2.289,-2.481,-1.961,0,4
NO  ,W  ,-3.483,-2.421,-2.039,-2.224,-2.047,-2.427,-2.67,-2.031,0,4.32
NO  ,Re  ,-3.103,-1.937,-1.517,-1.683,-1.466,-1.943,-2.214,-1.56,0,4.72
NO  ,Os  ,-2.827,-1.615,-1.179,-1.297,-1.04,-1.664,-1.926,-1.431,0,5.93
NO  ,Ir  ,-2.451,-1.25,-0.816,-0.916,-0.72,-1.216,-1.47,-0.829,0,5
NO  ,Pt  ,-1.85,-0.732,-0.324,-0.42,-0.293,-0.607,-0.831,-0.422,0,5.12
NO  ,Au  ,-0.719,-0.334,-0.243,-0.349,-0.493,-0.214,-0.171,-0.038,0,5.1
CH  ,Sc  ,4.111,3.964,3.929,3.656,3.399,4.065,4.032,3.702,0,3.5
CH  ,Ti  ,3.452,3.428,3.443,3.176,3.062,3.471,3.346,3.082,0,4.33
CH  ,V  ,3.046,3.189,3.273,3.01,2.961,3.258,3.082,2.925,0,4.3
CH  ,Cr  ,3.045,3.31,3.433,3.174,3.211,3.335,3.131,3.338,0,4.5
CH  ,Mn  ,3.217,3.565,3.717,3.494,3.557,3.712,3.513,3.589,0,4.1
CH  ,Fe  ,2.998,3.532,3.741,3.546,3.328,4.078,3.956,3.595,4.864,4.67
CH  ,Co  ,3.369,3.733,3.889,3.681,3.613,4.133,3.941,3.715,3.652,5
CH  ,Ni  ,3.717,4.009,4.142,3.936,3.938,4.286,4.064,3.955,1.231,5.04
CH  ,Cu  ,4.431,4.588,4.675,4.435,4.432,4.765,4.577,4.218,0,4.53
CH  ,Y  ,4.542,4.336,4.265,4.007,3.735,4.434,4.436,4.075,0,3.1
CH  ,Zr  ,3.838,3.759,3.744,3.445,3.314,3.833,nan  ,3.496,0,4.05
CH  ,Nb  ,3.2,3.256,3.294,3.016,2.975,3.294,3.183,3.003,0,3.95
CH  ,Mo  ,2.884,3.074,3.158,2.915,2.934,3.093,2.943,2.862,0,4.36
CH  ,Ru  ,3.249,3.557,3.684,3.486,3.553,3.659,3.466,3.387,0,4.71
CH  ,Rh  ,3.277,3.623,3.765,3.641,3.696,3.754,3.588,3.44,0,4.98
CH  ,Pd  ,3.95,4.243,4.373,4.253,4.215,4.437,4.267,3.91,0,5.22
CH  ,Ag  ,5.373,5.396,5.427,5.177,5.036,5.628,5.5,5.078,0,4.26
CH  ,Hf  ,3.706,3.64,3.63,3.342,3.217,3.688,3.606,3.32,0,3.9
CH  ,Ta  ,3.15,3.223,3.265,2.987,2.939,3.247,3.115,2.984,0,4
CH  ,W  ,2.811,3.008,3.089,2.833,2.881,2.94,2.774,2.779,0,4.32
CH  ,Re  ,3.068,3.342,3.446,3.227,3.34,3.289,3.11,3.104,0,4.72
CH  ,Os  ,3.081,3.385,3.503,3.343,3.483,3.33,3.153,3.043,0,5.93
CH  ,Ir  ,3.066,3.394,3.521,3.395,3.49,3.413,3.235,3.207,0,5
CH  ,Pt  ,3.518,3.845,3.977,3.881,3.93,3.933,3.765,3.514,0,5.12
